structure,die_x,die_y,measurement_id,mode,snm_mv,snm_left_mv,snm_right_mv,limiting_lobe,status,individual_png
SP01,14,3,18,read,205.99827213738496,489.7527807760923,205.99827213738496,right,ok,
SP01,14,4,43,hold,504.00344977819935,504.3379367690973,504.00344977819935,right,ok,
SP01,14,4,43,read,217.59415977204273,220.5376160433096,217.59415977204273,right,ok,
SP01,14,5,52,hold,475.53829999755084,492.41521597432256,475.53829999755084,right,ok,
SP01,14,5,52,read,167.68933882822108,193.94100308890563,167.68933882822108,right,ok,
SP01,14,6,75,hold,453.5513926503415,500.9296167250351,453.5513926503415,right,ok,
SP01,14,6,75,read,169.34774248653773,258.66327548480865,169.34774248653773,right,ok,
SP01,15,2,12,hold,459.96464286116947,459.96464286116947,501.8501842140871,left,ok,
SP01,15,3,17,hold,482.0100147194812,520.0391355105645,482.0100147194812,right,ok,
SP01,15,3,17,read,187.1124027711043,222.07064046613095,187.1124027711043,right,ok,
SP01,15,4,44,hold,280.2085028981674,350.52576221292253,280.2085028981674,right,ok,
SP01,15,4,44,read,103.2225405194884,103.2225405194884,215.47015382102063,left,ok,
SP01,15,5,51,hold,532.2110644594947,532.2110644594947,575.7339120774556,left,ok,
SP01,15,5,51,read,212.11352871307133,212.11352871307133,240.1157920456201,left,ok,
SP01,15,6,76,hold,484.59322318231165,484.59322318231165,512.8725457537095,left,ok,
SP01,15,6,76,read,199.0710077959926,199.0710077959926,234.25515879063065,left,ok,
SP01,16,2,13,hold,476.8203118978448,493.3817403178946,476.8203118978448,right,ok,
SP01,16,2,13,read,182.40268588910172,410.79200846652697,182.40268588910172,right,ok,
SP01,16,3,16,hold,482.5734237161235,490.4720112799844,482.5734237161235,right,ok,
SP01,16,3,16,read,196.93936567129424,196.93936567129424,200.5008083634013,left,ok,
SP01,16,4,45,hold,539.7013597215289,539.7013597215289,572.5966496547494,left,ok,
SP01,16,4,45,read,205.2275085763945,205.2275085763945,269.17566694816514,left,ok,
SP01,16,5,50,hold,479.2009161473343,484.9880663152218,479.2009161473343,right,ok,
SP01,16,5,50,read,207.0627383530963,207.0627383530963,209.85229992344247,left,ok,
SP01,16,6,77,hold,474.63585301827635,494.72571995516535,474.63585301827635,right,ok,
SP01,16,6,77,read,179.45085852567613,225.85651187968597,179.45085852567613,right,ok,
SP01,17,3,15,hold,492.6716280071184,501.3845612618174,492.6716280071184,right,ok,
SP01,17,3,15,read,225.78967932317735,226.64154402988436,225.78967932317735,right,ok,
SP01,17,4,46,hold,287.3377562854632,287.3377562854632,392.689248470254,left,ok,
SP01,17,4,46,read,18.675403478727812,18.675403478727812,394.2477700340935,left,ok,
SP01,17,5,49,hold,464.5683170674367,464.5683170674367,474.66964605725724,left,ok,
SP01,17,5,49,read,177.51908623181473,177.51908623181473,196.24211253006106,left,ok,
SP01,18,3,14,hold,469.0463487441783,469.0463487441783,475.4429465728021,left,ok,
SP01,18,3,14,read,188.18203473518287,188.18203473518287,198.9669900640621,left,ok,
SP01,18,4,47,hold,477.92621020245826,490.6704037591851,477.92621020245826,right,ok,
SP01,18,4,47,read,186.76236497481815,186.76236497481815,201.23338194576732,left,ok,
SP01,18,5,48,hold,461.4462841851356,461.4462841851356,482.48180184839424,left,ok,
SP01,18,5,48,read,206.29863480829533,221.36766435298796,206.29863480829533,right,ok,
SP02,2,3,30,hold,476.1649622749632,515.9660352016987,476.1649622749632,right,ok,
